comentario;nota;data
Faltam muitos animais marinhos. O espécime do polvo é minúsculo e único. Não tem tartarugas, focas, leão marinho, lontra... Bem fraquinho. E o valor da entrada é elevado impossibilitando de muitos irem por não poderem honrar a família inteira. E o estacionamento do AquaRio TB caro: 34,00!;3.0;mar de 2023
experiência legal, mas valor altíssimo para circuito pequeno. Vale conhecer, mas essa política de preço complica a situação.;4.0;mar de 2023
Muito bom, me surpreendeu pela organização e limpeza. Tanques muito bem mantidos, excelente acervo de espécies, espaço adequado para crianças, estacionamento disponível;4.0;fev de 2023
Fui com a impressão de que teria um grande aquário conectado com o mar (semelhante ao projeto para Fortaleza) mas vi aquários minúsculos com peixes presos. Era notório a falta de cuidado com os seres vivos.;3.0;fev de 2023
"Não vi nada demais. Os preços são muito alto; tudo é caro. Muita propaganda para pouco resultado.  Há alguns animais marinhos.";3.0;out de 2022
Não vale o valor pago. Pouca variedade de animais, o passeio dura 30 minutos, 40 no máximo…O marketing é bom, mas não vale a pena a ida.Fiquei muito decepcionada pois a expectativa era grande.O peixe igual a Dory do filme só achei um…;1.0;jan de 2023
nao há variedade de animais marinhos entrada desorganizada nas rampas. Muito decepcionante devido ao preço não ser justo ao que é oferecido lá dentro. A luz não favorece as fotos;1.0;jan de 2023
Pequenas mudanças, desde a última visita. Ainda assim é interessante, trás boas lembranças, as crianças adoram. Vale a pena!;4.0;jan de 2023
Excelente. Só recomendo não comprar o combo para o Cristo Redentor, pois NÃO AVISAM que o local de entrada fica em outro lugar.;4.0;jan de 2023
Tudo bem bacana, só achei os banheiros sujos e um pouco confusa a orientação de chegada e roteiro. Tem armário (pago) no local para quem vai direto viajar ou está chegando. As fotos são muito legais e ótimas lembranças. O Aquário do Balneário de Camboriú é muito semelhante.;4.0;jan de 2023
O ingresso para não morador é caro, mas vale cada realização. O local é lindo e surpreende de crianças até adultos. A fauna marinha é exuberante e claro, tem- se uma aula de ecologia e preservação;5.0;jan de 2023
Sou brasileiro e moro na Costa Rica. Trouxe meus filhos nascidos la para conhecer o AquaRio. Minha filha era aniversariante, apesar de ter mostrado o certificado de nascimento Dela digital com a filiação segundo indicacao de um empregado, não a deixaram entrar. Depois de pasasar por três controles de empregados mal treinados, Tive que voltar ao terreo e depois de enfrentaruma longa  fila tanto a empregada muito mal preparada como sua supervisora se negaram a dar o passe a minha filha. 75 reais não me deixa nem mais rico nem mais pobre assim que não há nenhum interesse em burlar suas regras. Enfim, um ato mesquinho e miserável que estragou meu passeio. Por sorte As crianças perdoam mais facilmente. Treinem seus empregados! Alem disso, é carissimo fora dos padrões brasileiros e os banheiros são nojentos.;1.0;jan de 2023
Perfeito! Nunca veríamos esses animais marinhos sem um aquário gigante desses, vale cada centavo.No final de semana em Janeiro fica muito cheio, acredito que o ideal seria ir em um mês que não seja de alta temporada.;5.0;jan de 2023
Fomos ao AquaRio em família, especialmente para meu filho de 10 anos.Para quem já conhece aquários dessa natureza, não tem muita novidade.O de São Paulo é maior.Mas é muito bacana para quem gosta muito da fauna aquática e para quem estiver visitando um aquário pela primeira vez.;4.0;jan de 2023
Uma experiência sensacional, muito bem feito, tudo muito bonito e agradável, nem parece que estamos no Brasil, parada obrigatória!!!;5.0;jan de 2023
Pelo preço do ingresso espera um aquario mais atrativo e interativo.Já fui em outros menores e mais bonitos.;2.0;jan de 2023
Fomos de carro, mas não havia estacionamento disponível nas imediações, pois todos estavam lotados. Parei mais de 1km do local. Comprei os ingressos pelo site, com hora marcada, mesmo assim havia fila e desorganização. Ao entrar, o número de pessoas era muito maior do q a capacidade do local. As pessoas se amontoavam para ver os aquários, havia disputa de espaço. Meu filho de 7 anos tentava se embrenhar entre as pessoas para espiar alguma coisa. Fila para entrar no túnel embaixo do tanque principal, onde era difícil transitar.  Filas nos banheiros (sujos e fedidos). visitei aquários em vários lugares (San Diego, Osaka, Nagoya, São Paulo, Natal, etc) e em nenhum tive dificuldade em observar os aquários, nem me senti desrespeitada como no AquaRio. Não vale a pena pagar o ingresso.;1.0;jan de 2023
Pro maior da America do sul, podia ser bem melhor. Poucas atrações, muitas desativadas e abandonadas, ar pesado e com mau cheiro.;3.0;jan de 2023
Uma boa atração para sua viagem ao Rio de Janeiro. Bastante educativo e instrutivo sob o ponto de vista ambiental e da diversidade da vida marinha. Excelente para levar as crianças. Os animais parecem ser muito bem cuidados.As instalações é que parecem mal adaptadas e decoradas ao prédio pré-existente. O ponto negativo mesmo fica por conta do constante e enjoativo odor de pipoca que invade todo o percurso, isto por conta dos diversos pontos de venda mal instalados. Agora, se você já teve a oportunidade de conhecer o Aquário de Lisboa, nem chega aos pés.;3.0;dez de 2022
Todo e qualquer cantinho do AquaRio é sempre uma nova descoberta! As crianças pequenas e as maiores se divertem igual! Amamos!;5.0;jan de 2022
"Experiência bem bacana. Aquário com bastante diversidade e muita informação. A passagem (túnel) por baixo do tanque principal é bem legal. Apenas achamos o valor do passeio um pouco ""salgado"", mesmo assim valeu a pena a experiência.";4.0;dez de 2022
