comentario;nota;data
"Visitei o parque em 09/03/2023 - HORRÍVEL!Filas intermináveis nos brinquedos, mais de 2h30 de espera por um brinquedo com uma criança de 3 anos no sol escaldante. Preço abusivo, exagerado para os alimentos e bebidas. Uma pipoca pequena R$ 15. Um lanche em torno de R$ 50. A gente paga o passaporte que também não é barato para ter acesso a 1 ou 2 brinquedos durante todo o período de visita ao parque (10h as 18h), sem contar o preço e política absurda do ""passa na frente ou fura fila"". A gente compra o passaporte e lá dentro do parque é obrigada a comprar mais um para poder brincar ou a alternativa é esperar 3h em cada fila. ABSURDO!!!! Não recomendo e não retorno, assim como as inúmeras pessoas que estavam lá no dia reclamando! Falta de respeito e consideração com o consumidor/cliente/turista! Isso sem contar que no dia anterior (quando comprei o passaporte), estava no site que os brinquedos funcionariam até as 19h...na prática, todos os brinquedos funcionam até as 18h...se você não estiver na fila 18h, não entra mais. Chegou ao absurdo do colaborador do parque (funcionário) dizer que naquele dia, justamente naquele dia, o parque teria decido fechar os brinquedos mais cedo (como assim???) e o dia estava lindo, com sol...não foi nenhum problema de mau tempo....e não adiantou insistir, falar que compramos o passaporte com a informação de 19h e tal...não pudemos entrar no brinquedo, tendo passado apenas 10 minutos das 18h (sendo que foi vendido para funcionar até 19h). O parque precisa rever URGENTEMENTE A QUESTÃO DO LIMITE/LOTAÇÃO DE VISITANTES, mesmo na época da temporada, pois é período que a maioria das pessoas tiram férias. Depois não adianta fazer propaganda na TV com ""acabou a temporada e o parque é todo nosso"". NÃO RECOMENDO E NÃO RETORNO! Minha sincera opinião.";1.0;mar de 2023
Visitei o parque há dois dias e o que dizer.... Péssimo!Valor alto da entrada que te da direito a... muita fila, mas muita fila mesmo! Se não quiser pegar fila tem que pagar o dobro pelo FastPass que também não serve para todas as atrações (apenas 5 selecionadas por eles e não pelo visitante). As filas era de 2 a 3 horas porque o parque trabalha bem acima da capacidade mas o pior é o desrespeito as leis. O parque não oferece água potável para os visitantes te obrigando a pagar R$ reais pela garrafinha se não quiser passar mal por desidratação já que as filas longas ficam no sol!O parque em si é bem bonito mas a experiência é terrível.Duas horas de fila por 40 a 60 segundos dentro do brinquedo.;1.0;mar de 2023
Se você tiver condição de pagar o passaporte extra : Fast Pass compre, porque o parque estava lotado com fila de espera em torno de  uma hora e meia cada brinquedo. E também o espaço VIP no show do Hot Wells. Nós utilizamos o Fast Pass e mesmo assim não conseguimos ir em todas as atrações, pois é tudo muito longe e cansativo.;3.0;mar de 2023
O parque é lindo demais. É como voltar a ser criança! Fomos em um casal em março e o parque estava vazio. Apenas a atração firewhip estava fechada para manutenção o mês todo. Não vejo muitos brinquedos radicais, para as crianças tem mais opções. Eu amei o lugar e voltaria outras vezes, parque organizado, pintado com cores alegres, bem estruturado. Assistimos ao show do hotwells e é muito legal! Ficamos apenas 1 dia no parque e deu para conhecer tudo. Andamos em todos os brinquedos que queríamos, fomos visitar os animais na parte do zoo e é sensacional! ;5.0;mar de 2023
Péssima experiência! Estivemos dois dias no parque e em ambos trabalhava muito acima de sua capacidade. Filas enormes de 2h, 3h... Absurdo. Crianças chorando pelo parque, todos muito cansados. Com quem conversei pelo parque compartilhou ser arrependimento e frustração comigo. O atendimento é péssimo. A água e a comida muito caros. Nunca mais retorno e não indico a ninguém.;1.0;mar de 2023
Muitos brinquedos fechados sem aviso prévio no site, nem mesmo na data de compra, parque superlotado. Ficamos 3 horas na fila da montanha russa e mais 3h na fila do ele da big tower. Cinema 4d Em preto e branco, óculos embaçados e sujos, cheiro de mofo, não da pra ver o filme direito. água cara e quente.;1.0;mar de 2023
Um local EXTRAORDINÁRIO.Local para TODAS AS IDADES.Diversão do inicio ao fim do dia.Parque muito mais que apenas diversão.;5.0;mar de 2023
"A viajem foi perfeita! Parque bem organizado e tudo muito limpo.Gostaria só de opinar em dois pontos.A abertura do parque poderia ser as 9;00.;como fomos com crianças (e a maioria das pessoas estava com crianças),elas acabaram ficando cansada da espera.E tivemos um problema na validação do ingresso do aniversário;cada funcionário nos informaram procedimento diferentes;que acabou nos atrasando muito a entrada no parque.";5.0;mar de 2023
Muito fila, ficamos de 2 a 3 horas na fila....o horário foi das 10 às 20h, mas os brinquedos fecham as 18h, mas nós não sabíamos disso.Deixamos alguns brinquedos para o final da tarde, chegamos as 18h e 5 mim.... fechado...... atendimento péssimo.;2.0;mar de 2023
Lugar perfeito e mágico. Só o preço das coisas que achei um pouco salgado, a limpeza dos banheiros tbem deixou a desejar um pouco. Mais de resto maravilhoso, os funcionários a maioria super educados. Voltarei concerteza;5.0;mar de 2023
