comentario;nota;data
Filas de mais de 3 horas nos brinquedos.Filas de mais de 1 hora para comprar água.Sem estrutura.Chegamos na abertura do parque conseguimos ir em 2 brinquedos.Sem organização nas filas.Sem funcionários preparadosBrinquedos ok, mas nada demais.;1.0;mar de 2023
Parque lotado, fila da Montezum demorou mais de 3 horas, com várias pessoas passando na frente dizendo que ia com o grupo que estava a frente, dessa forma, furando a fila e nenhum segurança para olhar e organizar, chegando a sair briga por esse motivo. Falta funcionários, as lanchonetes e quiosques com filas imensas por não ter pessoas para atender. Pela estrutura do parque poderia melhorar muito.;3.0;mar de 2023
Muito ruim, caiu na qualidade. Muito demorado. Uma hora e meia pra comer um lanche, somente um atendente. Nunca mais vou.;1.0;mar de 2023
O parque atende a diversas faixa etária, fomos 4 pessoas com crianças de faixa etária bem diferente. Um de 12 anos ( aborrecente rss) e uma de 5 anos, todos aproveitaram as atrações inclusive os adultos. A limpeza deixa a desejar mas aí o que conta é a educação e o bom senso de quem frequenta o parque.A cada saída dos brinquedos entramos em uma lojinha obrigatoriamente é o caminho que tem que seguir principalmente nas atrações mais radicais.Com relação a alimentação, tudo é meio fast food e não podia ser diferente, afinal se ficar muito tempo na alimentação não conseguirá dar conta de ir nos brinquedos, já que as filas são grandes.Os funcionários ao qual nós procuramos foram cordiais.Um destaque para a apresentação da Alice no teatro..muito bem adaptado ficamos encantados.Outro destaque é a montanha russa de madeira, infelizmente não conseguimos ir pois as filas estavam gigantes..O parque possui aluguel de carrinho para os pequenos e tbm o guardeiro para mochilas, todos pagos a parte. Algumas atrações são pagar a parte também, como a tirolesa entre outras.No geral foi um dia incrível..aproveitamos muito e voltaremos sem dúvida.;4.0;fev de 2023
DecadenteSó vá ao parque se:a) Você poder perder um dia sem prejuízo de outros passeiosb) Tiver grana para pagar o fast passQuando fui, o parque não estava tão cheio (segundo os funcionários), ainda sim só conseguimos ir em 3 atrações “radicais” e 1 infantil. Chegamos 11:30 e saímos 19:00, mas as filas chegam a passar de 2h (há relatos de 4h de espera).Ou seja, sem fast pass (R$ 150) é perda de tempo. As filas até para comer são intermináveis.;2.0;fev de 2023
Fui ontem (20/02/23) e fiquei um pouco decepcionado, apesar de não estar muito lotado, com filas de 1 hora para os brinquedos mais concorridos, tinha fila nas lanchonetes, no restaurante Sallon tem que chegar 1hora  antes para conseguir uma mesa. Brinquedos parando para manutenção a todo momento, e o mais decepcionante, perderam as licenças da DC e da Looney Tunes, tirando o brilho das atrações...uma pena! Havia visitado o parque em Outubro de 2017, logo após a reabertura e estava muito melhor que hoje, ou seja, depois de 6 anos, com a recuperação judicial em andamento,  imagina que o parque havia se reestruturado, mas na verdade, decaiu. Não que  não seja um boa opção de passeio, mas tem muito a melhorar.;3.0;fev de 2023
O parque tem montanhas russas , roda gigante, espetáculos teatrais e brinquedos aquáticos muito divertidos , como o Rio Bravo Ótimo para crianças e adultos.;5.0;fev de 2023
Estive no festival hopi pride, onde o parque estava muito bem estruturado e temático. Funcionários de bom humor, educados e utilizavam de muito respeito para com todos.;5.0;nov de 2022
Uma pena que um parque de diversão tão clássico e histórico, numa localização impecável e com atrações bem bacanas esteja abandonado e sem cuidado. O grande problema que enxergo é falta de gestão e pessoal - o parque está funcionando apenas com o pessoal para manter o essencial funcionando, mas precisa de mais carinho. O pessoal está desmotivado, mau humarado, sem motivação mesmo. Filas existem por falta de eficiência mínima no processo, exemplo - filas para COMER! Isso não existe mais!!! Uma pena....;2.0;jan de 2023
Estive no parque no ultimo dia do evento Hora do Horror em 2022. Fazia algum tempo que não voltava ao parque e sim, o parque tem pontos a melhorar, mas muitas queixas que vi aqui no site são injustas.O maior problema hoje para o parque está relacionado as filas. Na alta temporada, algumas atrações chegam a ter fila de mais de 2 horas, e a grande maioria não tem uma estrutura que torna a experiência mais confortável. Talvez a falta de algumas atrações também pese nesse sentido. As filas, junto ao clima árido da região e a falta de bebedouros força a necessidade de compra de água, mas vale ressaltar que é permitido levar bebida lacrada, então é possível trabalhar a economia.Sobre conservação, o parque está muito bem conversado, alguns lugares precisando de uma pintura, mas fica evidente que há uma preocupação sim nesse sentido. As atrações funcionando normalmente, não presenciei paradas técnicas, sendo a montanha russa de madeira bruta por natureza. A área de Aribabiba é a mais descaracterizada de temática, e a de Kaminda Mundi a mais bem conservada. Na entrada de cada atração há um descritivo com as informações e um selo de qualidade internacional certificando que ela está plenamente funcionando dentro do padrão, o que achei ótimo.Por fim, continua sendo a melhor opção de parque de diversão na região sudeste, e um dos melhores parques do país, com opções que abrangem todos os públicos.;4.0;nov de 2022
