comentario;nota;data
O mercado é muito grande e com uma variedade enorme de produtos, em especial souvenirs. Os restaurantes são muito práticos, mas a comida poderia ser melhor. É um bom local de passeio para sentir o verdadeiro espírito das gentes de Fortaleza.;4.0;fev de 2023
O Mercadão tem vários andares com lojas de artesanato e no térreo algumas de comida. As de artesanato são excelentes e têm ótimos preços.  Com tempo, você poderá achar obras de arte com um valor justo.;4.0;jan de 2023
Em termos de lojas e preços bons, ok. Mas somente isso. Você não se sente seguro nem um segundo, é abordado logo na entrada por pessoas em situação de rua e viciados. ;3.0;fev de 2023
O mercado é excelente. Tem que pechinchar.Tudo barato. Ótimo acesso. Educação nota 10Local pra degustação;5.0;jan de 2023
É uma boa feira. Muito grande. Tem 4 pavimentos. Muita variedade de artesanatos. Os preços são bons na maioria das barracas, em outras achei caro os preços (principalmente de roupas). Comprei um shortinho lindo por um bom preço, e uma camisola. Além de algumas lembrancinhas. O banheiro é limpo. Tem grande variedade de restaurantes. Almocei no Gulodices. Comida gostosa, variada e funcionários bem educados. Tem que gostar de andar. Pra quem gosta é ótimo. Tem acesso para pessoas com deficiência.;4.0;jan de 2023
O mercado possui vários andares com artesanato e alguns restaurantes com comida caseira local! Achei organizado, estacionamento pago;4.0;jan de 2023
Sem muita novidade, um mercadão com as mesmas coisas praticamente em todas as lojas. Mas legal ir lá.;2.0;dez de 2022
Sem dúvidas é o principal centro de compras de artesanato de Fortaleza, pelo simples fato de o local ser gigantesco. Trata-se de um prédio antigo, porém, reformado, de três longos andares com amplo estacionamento e cerca de 600 lojas onde se encontra de tudo o que envolva artesanato, bordados, roupas, calçados, itens diversos de decoração, artigos em couro, etc.;3.0;set de 2022
Não é um local organizado, valores altos comparados por exemplo a feirinha (que tem os mesmos produtos). O terceiro andar atende melhor, tem valores melhores. De resto é um mercado comum como em todo cidade, deixam a desejar no atendimento, você passa em várias lojas eles te abordam, quando você começa a perguntar valores te atendem mal ou as vezes até deixam de te atender. Não acho um passeio obrigatório.;2.0;nov de 2022
São muitas lojas, com preços razoáveis, e muitas opções. Não se consegue ver com muita calma, sem que alguém aborde e insista. O local tem uma arquitetura diferente, mas é uma visita dispensável. ;3.0;out de 2022
Lugar legal, não é muito extraordinário, possui várias lugares de compras, comprei uma castanha e um chapéu lá, não achei muito seguro nos arredores.;4.0;ago de 2022
É muito grande - imenso! Mais de seiscentas lojas. Uma variedade de produtos muito grande. Com bares e restaurantes. ;4.0;jul de 2022
Local muito limpo com atendentes prestativos. Estacionamento disponível. Elevadores.  Acessibilidade. Ótimos preços e condições de pagamento .;5.0;ago de 2022
Sempre que estou em Fortaleza passo no Mercado central, principalmente na Loja Silene Bordados onde encontro tudo para Mesa posta com Preços excelentes!;5.0;jul de 2022
Lugar maravilhoso para quem tem paciência e gosta de caminhar e pechinchar.  Tem de tudo do Ceará pra levar como recordação! Recomendo a visita.;5.0;jul de 2022
Um lugar importante onde é você encontra vários produtos típicos alimentícios, vestuário, souvenir e também restaurantes;4.0;ago de 2022
Com várias opções de produtos e preços. Bom atendimento, mas as vezes insistente na oferta de produtos.;3.0;set de 2022
O horário de 17 horas na página do local não procede, cheguei às 16h de sábado e 95% já estava fechado, minha dica é chegue cedo;1.0;jun de 2022
Dezenas de lojas com diversos tipos de artesanatos, lembrancinhas, roupas, castanhas. Possui elevador. Vale a pena pechinchar.;4.0;out de 2021
Local com diversas opções de compras, de todos os tipos , mercado público enorme o maior que já vi no Brasil, com vários andares, tem de tudo.;4.0;jun de 2022
Mercado com diversas opções de lojas de artesanato, lanchonetes e restaurantes. Lugar muito agradável e limpo, recomendo a visita.;4.0;mai de 2022
Completo para quem deseja fazer compras e levar lembranças.  Cinco pavimentos com lojas de todos os tipos de artesanato, castanhas, doces, redes e roupas.  Tem restaurantes por kilo no térreo mas não acho muito interessante para turistas. Possui rampas de acesso e elevador.  As lojas localizadas nos andares superiores tem melhores preços, vale caminhar, pesquisar e pechinchar.;4.0;mai de 2022
Com toda certeza é o melhor mercado de artesanato do nordeste no quesito quantidade de lojistas e infraestrutura. Embora a maioria das lojas acabem tendo um mesmo tipo de produtos, você consegue encontrar variações e diferença de preços de até 50%. Os lojistas abordam, mas sem tanta insistência, o que pra mim é um ponto positivo. O entorno é um pouco inseguro e os banheiros mal cuidados, no entanto é sim uma parada obrigatória!;4.0;mai de 2022
Quem vai a Fortaleza não pode desperdiçar a oportunidade de visitar o Mercado Central, com 4 pisos recheados de lojinhas com todo o tipo de artesanatos, roupas, redes, lembranças e tradicionais pontos de venda de castanhas de caju ,doces e outras especiarias características  do nordeste. Com certeza voce não sairá de lá  com as mãos vazias;4.0;abr de 2022
Produtos artesanais com preços acessíveis e de boa qualidade. Atendimento muito bom, simpatia e grande variedade de produtos.;4.0;mar de 2022
"Local maravilhoso para fazer compras e levar lembranças. Muita coisa que não é artesanato; tem q garimpar bem/ fui muito bem atendida na loja da Silene. Super recomendo.";5.0;jul de 2022
Ótimo lugar pra fazer compras, não só de grandes volumes, mas também de pequenas lembranças!! Muito produto bom e barato!!;5.0;jul de 2022
Artesanato é aqui! Tem de tudo! Recomendo em especial a loja Angélica artesanatos. Vá com calma, corredores estreitos, muito movimento, uma infinidade de lojas. O diferencial é. A Loja Angélica artesanatos, mas a maioria das peças não são de Fortaleza.;3.0;fev de 2022
