comentario;nota;data
A falta de cuidado com o patrimônio público, se deteriorando, e ao redor não há cuidado com o lixo produzido, por maior que seja o cuidado dos feirantes, não há interesse do poder público em preservar o local.;3.0;fev de 2023
Melhor lugar de produtos amazônicos de Curitiba. Atendidos muito amavelmente. Se for comprar cachaça de jambu ou gosta de molhos ardidos de jambu e/ou tucupi esse é o lugar! Eu só no experimentei o camarão com tucupi porque não estava com tempo;5.0;jan de 2023
Acredito que seja o principal ponto turístico da cidade. Certamente é imperdível. Lá se tem contato com quase tudo que faz parte da vida do paraense.;4.0;nov de 2022
Achei muito sujo o local. Fui a 13:30 e já tinham muitas barracas fechadas. Fui para comer lá mas achei melhor comer na estação das docas. O mercado do peixe nesse horário só tinham urubus. Fiquei com medo de comprar os produtos por lá. Talvez pela manhã seja melhor.;3.0;dez de 2022
Lugar muito movimentado, como cheiro não muito bom de urina, como barracas que servem açai com peixe frito e farinha;3.0;nov de 2022
Estive em 11/10 no Ver-o-Peso e fiquei bem decepcionada. Como outros lugares em Belém a zeladoria deixa muito a desejar. Sujeira por toda parte e insegurança. O mercado é como uma feira de rua. A céu aberto. Na estrutura de ferro, há um balcão com informação turística, porém  ali a atendente disse para mirar em um QR Code para ter essas informações. Ora...como usar o celular na rua sendo que o local e a cidade é como qualquer outro grande centro? Isso me chateou muito nessa visita a Belém. Não há informação impressa, no aeroporto e nem nos locais de passeio para o turista. Uma pena a cultura do Norte do país é muito linda. Coisa que pude vivenciar e aproveitar em Soure.;2.0;out de 2022
Não foi a primeira vez que estive por lá, pena que o lugar não está tão bem cuidado como deveria. Gosto da cultura local, bem como suas comidas, lembranças. ;4.0;out de 2022
Mercado ao ar livre ao lado da estação das docas. Estacionamento custa 5 reais. Local confuso e fedido.Uma bagunça q só! Vendem de tudo. Pode passar tranquilo q os vendedores não são inconvenientes, pelo menos isso.Não vale a visita;2.0;nov de 2022
Fui no mercado no dia 24/10/2022, ele é feio, sujo e fedido. Esperava mais do principal cartão postal de Belém.;3.0;out de 2022
Lugar muito sujo, chorume, lixo e odor fétido. Há calçadas com dezenas de urubus. Local sem nenhuma segurança, onde turistas são alvos de furtos. Recomendo passar de carro, se quiser observar o local. Ou se quiser passar por uma aventura insólita, é prato cheio…;1.0;set de 2022
Eu adorei o ver o peso, ótimo lugar pra conhecer um pouco mais a cultura do Pará. E sim é um mercado e como em qualquer mercado do Brasil é preciso ter cuidado com os pertences, pode ser tumultuado e tem algumas partes sujas. Vale a visita, lá tem de tudo. Vá bem cedo é mais vazio e menos tumultuado.;5.0;ago de 2022
Lamentável o estado do local.Ambiente sujo, barracas sem qualquer cuidado. Lugar lindo que merece e necessita de maior cuidado. Lixo jogado pra todo lado, infelizmente.;1.0;ago de 2022
Não tem como ir a Belém e não visitar o Mercado Ver o Peso. Tem um valor histórico muito legal e muita coisa típica da região. O problema é que é no centro antigo da cidade, é muito sujo, muito tumultuado e tem que se tomar cuidado com seus pertences. Recomendo a visita no meio da manhã ou da tarde. No final da tarde começa a ficar perigoso e a noite, nem pensar! Aproveite pra comprar as castanhas do Pará e de caju com preços que não vai encontrar em nenhum outro lugar.;3.0;mai de 2022
