comentario;nota;data
O Museu de Arte de São Paulo é um destino obrigatório para quem aprecia a arte e a cultura. Com sua coleção de classe mundial, exposições emocionantes e arquitetura icônica, é uma experiência incrível que você não vai esquecer. Altamente recomendado!;5.0;mar de 2023
O acervo do museu é incrível. Sempre me surpreendo. É um passeio indispensável em São Paulo, para voltar diversas vezes.;5.0;mar de 2023
O MASP é um local para ser apreciado sempre. Costumo ir todas as vezes que estou em SP. Tem 2 pisos apenas, sendo por tanto um passeio rápido, mas agradável. Tem uma fila organizada por horário de entrada. Os banheiros são extremamente limpos. O único problema é a falta de segurança e policiamento no próprio vão do MASP. Por exemplo, tinha um cara fora de si metendo uma camisa suja em todas as mulheres da fila e não tinha nem PM,  nem segurança para impedir. Além de muitos mendigos dormindo por lá. Cuidado!;4.0;fev de 2023
Comprar meia entrada (para prefetenciais) no Masp é uma tarefa difícil.  São muitas as exigências, o que gaz demorar a compra e forma enormes filas de espera. A moça do caixa pede o nome do visitante,  número de CPF, depois um número que vem por SMS e, só então, é efetuada a venda do ticket. Tudo isso levam uns 10 minutos e muita espera para quem está na fila, querendo  comprar o ticket para entrar no Museu. Pergunta: se a pessoa estiver sem celular não entra? Lamentável que o maior museu do país crie tantas dificuldades de acesso de preferênciais. ;2.0;fev de 2023
Vale conhecer o Masp e as obras que ele expõe. Uma riqueza incrível. O valor esta 50,00 inteira. Vale ir cedo e depois passear na Paulista.;5.0;jan de 2023
Lugar agradabilíssimo.Confesso que fui para ver a exposição da Judith Lauand, chegando lá, vi que as obras de Portinari, Tarcila do Amaral, Anita Malfati, Claude Monet, Van Gogh, Renoir, Edouard Monet, Delacroix, Rembrandt, Bosch, El Greco, entre outros, estavam em exposição. Quase tive um treco, pq qdo a minha amiga veio, alguns meses atrás, eles tiraram para restaurar, fiquei tão feliz … quase chorei, sério…;5.0;dez de 2022
Museu na Avenida Paulista, numa concepção arquitetônica diferente e com uma organização do acervo de forma diferenciada. Você circula por entre as peças de arte.Vá com tempo para poder aproveitar os vários artistas que lá estão. Desde os mais novos aos mais reconhecidos.São 4 andares, dois no subsolo.Às quintas a entrada é grátis.Agora é esperar a expansão do Museu que certamente será maravilhosa também.;5.0;dez de 2022
O MASP tem um acervo muito rico. Obras excelentes. A apresentação dos quadros, idealizada pela Lina Bo Bardi, traz uma concepção nova para um museu de arte e é realmente muito bom circular entre as obras, sem tê-las fixas nas paredes. Vale muito conhecer o MASP.;5.0;dez de 2022
Fui ao MASP em dez/22 numa segunda-feira, pois há ingressos gratuitos. Fui inicialmente as 9:40 lh da manhã e todos ingressos gratuitos haviam acabado. Foi para outros lugares. Na volta às 16:40h resolvemos ir ao museu e havia ingressos grátis disponível.O passeio começa no 3° andar onde há as grandes obras. Demoramos muito tempo aqui. É fantástico.Os outros andares ( descendo até o subsolo) é interessante. Ha artitaa nacionais. Mas, boa parte das obras não me cativaram.Bem, cada um tem sua opinião. Não percam esse passeioO que me desagradou mesmo é a pintura do museu, descascada, muito mal cuidado (por fora). E embaixo vários moradores de rua. Cuidado!! ;4.0;dez de 2022
O museu dos museus do Brasil, do estado de São Paulo. O Masp quem nunca quis estar no interior deste que é um dos cartões postais da cidade de São Paulo, com obras de grandes artistas nacionais e internacionais. Como a arte é para todos na maior cidade do país, o Masp tem dias de entrada gratuita. Todos devem conhecer.;5.0;out de 2022
Uma bela surpresa nos esperou no masp. Obras de Tarsila, Portinari, Renoir e Monet. Tudo lindo! Além disse muitas obras de cunho social…;5.0;out de 2022
A exposição do segundo andar (permanente) é bem interessante. O acesso ao museu é facilitado e a compra dos ingressos pode ser feita online. Bom programa para domingo a tarde.;3.0;out de 2022
Os ingressos só são vendidos on-line, pelo menos foi assim quando eu fui - aí tava cheio de gente na porta mexendo no celular pra fazer a compra.O ingresso tem hora marcada, mas a fila anda rápido.O museu é muito bom, muito completo, com obras dos principais pintores do Brasil e do mundo. Vale muito a pena.;5.0;set de 2022
Sobre o “acervo em transformação”Tem obras primas de renomados artistas nacionais e internacionais, tais como como Van Gogh, Picasso, Monet, de valor artístico universal e atemporal, misturadas com obras contingentes e de menor relevância, claramente escolhidas não pelo seu valor artístico, mas pelo seu teor político - em especial as das primeiras fileiras. Não bastando esses elefantes na sala, o proselitismo político também tomou conta das legendas e os textos dos versos de algumas das obras chegam a ser cômicos, nada esclarecendo sobre aspectos técnicos da obra em si, contexto histórico, valor artístico etc., mas com conteúdo que chega a menosprezar e depreciar a obra e o seu autor com ilações totalmente despropositadas, alguns sendo acusados de terem sido racistas e sexistas (enquanto outros têm sua genialidade associada ao fato de terem defendido certas pautas políticas). Tem alguns textos que acusam o próprio museu de ter um acervo “machista”, pois “60% dos nus são de mulheres” e coisas do tipo. É o próprio museu fazendo uma hipocrita autocrítica totalmente despropositada. O moderno é louvado e o atemporal é denegrido. É muito proselitismo barato. *Colocar as legendas - título e autor nos versos das obras foi uma verdadeira ideia de girico. ;4.0;set de 2022
AAhhhhhh, que lugar incrível!! A energia lá é muito boa. Você entra na viagem de casa tela exposta. Fomos em Agosto e aproveitamos pra ver a exposição do Joseca Yanomami além do acervo fixo!!;5.0;ago de 2022
Sonho realizado. Prédio memorável. Exposição fica é inacreditaval! História pura. Para quem ama arte.;5.0;ago de 2022
A visita ao interior do MASP é IMPERDIVEL!Várias obras de arte famosas  na exposição permanente, ambiente tranquilo, seguro e agradável.Sempre tem uma exposição temporaria.Fui na terça feira que a entrada é GRATUITA (tem que reservar antes pelo site, pq é muito concorrido).Recomendo chegar um pouco mais cedo (nas terças) pois sempre tem fila.Nao tem um tempo máximo para ficar dentro do  museu, dando para visitar sem pressa.;5.0;jun de 2022
O MASP é de tirar o fôlego! Os grandes nomes da pintura mundial estão ali, esperando por você! Experiência ímpar, no coração da Avenida Paulista! O valor do ingresso é meio caro, 50,00, mas o acervo compensa! ;5.0;ago de 2022
O MASP atualmente tem exposição em 4 andares (dois acima do nível da rua e dois no subsolo). As exposições são muito interessantes e estão cheias de obras importantes e famosas. Com as obras da exposição permanente em cavaletes de cristal, é possível andar entra as obras, o que é uma experiência bem diferente e interessante. Vale muito a pena visitar.;5.0;jul de 2022
Museu muito bom. Várias obras famosas, muito bem cuidado e organizado. Vale muito a visita. Tente ir no dia gratuito (terça), reservando com antecedência, pois não é barato. Não gostamos do café do museu, pão de queijo e chocolate quente ruins.;4.0;jul de 2022
Infelizmente, tivemos uma péssima experiência com o MASP, por meio da empresa que vende os ingressos.Compramos antecipadamente 2 ingressos (100 reais) para as exposições, no horário das 12h na última sexta-feira. Infelizmente, nosso vôo atrasou mais de 3h por conta da neblina no RJ. Nas políticas de cancelamento e reagendamento expostas no site, é necessário o envio de um e-mail para o suporte. Fizemos isso e pedimos o reagendamento para o dia seguinte. Qual não foi nossa surpresa ao receber a resposta de que não era possível, sistemicamente, fazer o reagendamento. Como assim? E o controle dos ingressos não utilizados? E o valor gasto?Na oportunidade: não percam tempo com as redes sociais e Reclame Aqui: ignoram.Visitem a Pinacoteca! Atendimento atencioso e o lugar é incrível. ;1.0;jul de 2022
Na minha opinião, o MASP segue em direção contrária à pinacoteca, pois oferece um grande acervo de arte clássica e erudita, principalmente, expondo obras famosas. Para mim (pessoalmente!), a pinacoteca seria dispensável, e eu passaria o dia inteiro no MASP.Apesar de ser grátis às terças, é necessário agendar o ingresso on-line, e dependendo da lotação, pode ser necessário pagar.;5.0;jul de 2022
