comentario;nota;data
Visita obrigatória em Petrópolis. Único ponto negativo que acredito que o museu (e visitantes) perdeu muito foi parar com a visita guiada... era incrível e agora em março não tem mais.;4.0;mar de 2023
Visita clássica de quem vai a Petrópolis. Museu muito bem cuidado com relíquias bem interessantes da história brasileira. Nos feriados podem ocorrer filas para entrada. Os jardins do museu podem ser visitados de forma gratuita sempre que o museu está aberto. Como não é permitido fotografar e nem entrar com bolsas e mochilas, pense bem no que vai carregar nesse dia. De todo modo, há local para deixar seus pertences. Há meia entrada para estudantes e professores.;5.0;fev de 2023
Aula ao vivo e a cores sobre nosso tempo do Império, visita para ser feita varias vezes  e conhecer um pouco da nossa historia.Jardins em dias de calor, vale pois fica fresquinho.Veja também a parte das carruagens de dica.. feche os olhos e viaje na imaginação..;5.0;jan de 2023
Museu Imperial é a perfeição em todos os aspectos. Museu conta com vários atrativos interessantes, não só a visita na parte de dentro do Museu, mas também pelos jardins ( que dá excelente fotos). Atrás do Museu tem o ambiente com algumas carruagens da época. Recomendo verificar se está rolando o espetáculo de som e luz, pois rola em algumas datas ( geralmente final de semana). O Teatro também tem algumas atrações interessantes.;5.0;jun de 2022
Residência oficial da família imperial brasileira, no século XIX, guarda um rico acervo de peças, em mobiliário, vestuário e ornamentos.A coroa de D Pedro II, peça fabulosa, é um espetáculo a parte. Infelizmente não pode ser fotografada ou registrada.;5.0;jan de 2023
a historia do local é legal, mas achei o museu pobre em número de peças bem como conservação do local.;3.0;jan de 2023
Acho imprecindível a visita, e voltei todos os dias aos jardins pela brisa fresca e paisagem agradável.O museu é bem cuidado, muitíssimo interessante  adorei visitar. Preço do ingresso achei muito bom, fiz o passeio sem guia e acredito que  as informações escritas nas placas e descrições dos itens tenham sido mais que suficientes para compreensão. Os jardins acredito que seja local ótimo para sentar-se  e fazer uma leitura.Além disso, o  bistrô que se localiza nos jardins é excelente.;5.0;jan de 2023
"Local bem conservado e com grandes artefatos históricos. Fomos guidos pela Mônica que nos informou sobre tudo (com humor inclusive) tornando a história imperial muito mais divertida.Local deve ser acessado com pantufas para manter o piso original; pena algumas pessoas não se importarem e de maneira sorrateira “se livram” dos mesmos durante o percurso. Talvez uma fiscalização mais intensa se faça necessário.Segundo a guia, evento guiado somente durante férias de Janeiro. Sugiro ao Museu manter definitivamente pois é de enorme valia para as crianças e adolescentes. Meus filhos curtiram tanto que “colaram” na guia e a encheram de perguntas.Preços: Combo família: 2 adultos e duas meias R$ 25,00.";4.0;jan de 2023
A visita é uma volta ao tempo, com todas as salas, objetos pessoais e peças únicas, como a coroa de D. Pedro II. Este museu é o local que possui o principal acervo do país, relativo ao Império brasileiro.Visando manter a preservação do local, é entregue na entrada do museu um tipo especial de calçado, com uma espécie de feltro na sola, e precisamos andar deslizando. Além de uma experiência diferente, também é divertido. Infelizmente não é permitido filmar ou fotografar o interior do Museu.Gratuidade às quartas-feiras;5.0;set de 2022
O museu está melhor do que nunca. Coleção belíssima, a história do Brasil e da família Imperial que tanto amamos. Sugiro uma visitação ao Duettos para um lanche, a lojinha e ao galpão das viaturas.  O lindo Jardim bloqueado para visita, uma pena. Crítica somente a administração que inaugurou uma bilheteria nova e guarda volumes porém na extremidade oposta da entrada, e aí qdo vc chega lá... pagamento só em dinheiro. ABSURDO TOTAL NOS DIAS DE HOJE. Você é obrigado a andar tudo de volta e procurar um lugar pra sacar dinheiro na cidade, longe. Porque não colocam um aviso grande no portão de entrada? Decidi informar isso aos funcionários e me mostraram uma caixa de reclamações e sugestões colocada, não sei se de propósito, quase escondida atrás de uma porta perto da saída sem indicação. Aí... não tem papel pra escrever. Arrego. Faço a sugestão/ reclamação por aqui mesmo, assim terei certeza que ajudarei outros visitantes.;4.0;jan de 2023
Preço acessível, interior muito bonito, cheio de informações sobre a história do Brasil. Um passeio que vale a pena! Principalmente para ensinar a crianças;5.0;jan de 2023
Local histórico, dura cerca de 1h, as quartas-feiras entrada franca. Visita de vários ambientes do palácio e pavilhão das viaturas. ;5.0;dez de 2022
Perfeito!!!! Ruim pq não pode tirar fotos. Cômodos em perfeito estado, decoração perfeita. Eu amo!!!! Jardim bem cuidado. ;5.0;dez de 2022
Essencial e imperdível, a aura monárquica nos espaços que a família real viveu e sofreu, bem como se regozijou é mágico. Muita história e muitos detalhes da vida e do modo de vida imperial. Um local especial de mergulho na cultura e história. Fique atento para ver e ler o documento imperial decretando o fim da escravidão no Brasil. Muitos ainda dizem que não existiu escravidão.;5.0;jan de 2022
Interessante acervo sobre a nossa monarquia, bem cuidado e conservado. Os jardins também são muito bonitos, assim como a exposição das carruagens que fica na parte anexa, ao lado. Como melhoria sugerimos aumentar o tamanho das letras das descrições das obras. Só se pode ler de perto, o que com muitos visitantes não era possível.;4.0;jul de 2022
Visita obrigatória em Petrópolis. O museu está bem conservado e o acervo é bem grande. Ficamos decepcionados com a administração. Só se compra o ingresso com dinheiro. Não aceitam cartão e pix. Muito sem noção! Ingresso: R$ 10,00;4.0;jul de 2022
Lindo lugar indico demais. Dá pra fazer muitas fotos bonitas no jardim do museu. Não deixem de ir lá.;5.0;set de 2021
Claro que é uma visita importantíssima em Petrópolis. Sempre que venho, vou visitar. Mas na real, não muda nada. Você tem que colocar um sapatinho para não arranhar o piso. A entrada não é cara, então pode ir sem medo. Você precisa deixar bolsas e mochilas no guarda-volumes onde você compra o ingresso. Não pode entrar com nada disso. Não pode tirar foto de dentro do Museu. Não pode tocar em nada. Você vê a História da família imperial através dos cômodos. Leia todas as plaquinhas para não deixar nada passar. Mas além do Museu, há uma parte anexa onde ficam as carruagens antigas. Essa parte é gratuita. E também há os imensos jardins, onde você pode dar uma baita caminhada e tirar fotos com o Museu ao fundo. Há mostra de Luz e Teatro porém estava paralisado devido às regras contra a Covid. Ao final do passeio, há a Lanchonete Duetto's onde você pode tomar um cafezinho com bolo. O lugar é bonito mas os preços são beeeeem salgados.;4.0;jul de 2022
Lugar excelente para passeio em família, escolares, casal . Atendimento muito bom , lugar com acesso acessibilidade , tem banheiro , bebedouro na área externa.;5.0;jul de 2022
Museu localizado em uma região lindíssima, com um acervo fantástico, principalmente relacionado a História de Dom Pedro II e de sua família e do seu costume de vida durante sua época. Não deixe de ver a coroa e o pavilhão onde está a carruagem e o trem de ferro com o nome Leopoldina.;5.0;jul de 2022
Muito interessante pra quem quer conhecer um pouco mais sobre a história do período imperial no Brasil. O ingresso é bem barato e o local é bem cuidado.;4.0;set de 2022
Visitação obrigatória em Petrópolis-RJ. Parte da história brasileira está neste museu que conta com inúmeras peças da vida cotidiana dos mandatários do Brasil. O ingresso é acessível e muito bem conservado. Além do prédio principal há outros no entorno do palácio. O jardim é impecavelmente bem cuidado.;4.0;jul de 2022
Não chegamos a entrar no museu, mas passeamos pelos jardins e apreciamos o movimento em torno do casarão. Por isso não posso fazer uma avaliação conclusiva.;5.0;jan de 2022
O ingresso eh barato, 10,00 por pessoa. As peças estão em excelente estado e muito bem catalogadas. A visita eh conduzida através de cordões de isolamento que permite não perder nada do acervo. O museu eh repleto de seguranças e como o palácio todo possui assoalho de madeira , todos têm que usar um chinelo de feltro enorme que cobre o calçado. Idosos não precisam usar. Uma verdadeira viagem no tempo. Destaque para as coroas,o cetro e as roupas cerimoniais que podem ser vistas ao lado de belíssimas pinturas do século 19 que mostram dom Pedro II usando-as. São muitos cômodos,Muitas peças. Não dá pra ver tudo em menos de 1,5 h. Não são permitidas fotos ou filmagens. Qualquer bolsa deve ser deixada no guarda volumes. Para estacionar eh difícil. Deixei o carro na rua na zona azul. Menos e 4 reais por hora. Uns 50 m depois do portão tem um estacionamento num casarão antigo. ;5.0;jul de 2022
O museu muito legal. interessante ver como a familia imperial vivia. o local é lindo! destaque especial para o show noturno.;5.0;jun de 2022
O Museu Imperial é um lugar maravilhoso de se visitar e seu acervo histórico é excepcional. Preço acessível.;5.0;jun de 2022
Uma das melhores visitas que fizemos em Petrópolis, a visitação é extremamente organizada e os funcionários ótimos também, tudo maravilhoso e vale muito a pena.;5.0;jun de 2022
É um lugar maravilhoso e vale a pena ir! Mas os funcionários são bem mal educados, o que tira um pouco da magia do local.;5.0;jun de 2022
Muito bem cuidado e todas as peças remetem ao nosso passado mais glorioso! Sempre me emociono ao ir ao museu imperial. Infelizmente nossa história linda está sendo jogada no lixo!;5.0;mai de 2022
O museu é muito bem conservado, com uma riqueza cultural inestimável, é entrar e ficar imaginando o que se passava lá. Muito lindo.;5.0;jul de 2022
O Museu Imperial foi o local mais bacana que visitei em Petropólis. É necessário entrar de pantufas para não arranhar o piso amadeirado.  Há inúmeras salas e quartos, objetos pessoais da família real, carruagens e muitas outras atrações.;5.0;mai de 2022
Adorei o espaço.... A conservação das peças apresentadas.... De parabéns.... por toda a estrutura e a maneira que estão organizadas. ;5.0;jun de 2022
O museu, principal atração de Petrópolis, é organizado e bem cuidado. O palácio, que abrigou a Família Real, tem um acervo muito rico. Numa viagem no tempo, podemos ver aposentos, sala de jantar, escritório, móveis, utensílios e, sobretudo, mergulhar na nossa história. As curtas leituras que constam em cada uma das salas nos levam a entender um pouco mais da história. Talvez uma visita guiada seja ainda mais rica. A pequena parte dos jardins que circulamos é limpa e bem cuidada e ocafé é um lugar bem agradável.;5.0;jun de 2022
Recomendo a todos que visitam Petrópolis, o acerto mostra um pouco do cotidiano e história da família real.;5.0;nov de 2021
Ficamos impressionados com o museu Imperial, a organização, limpeza e a exposição são fantásticas.Vale a pena a visita. Ficamos mais de 2 horas nas dependências do museu.;5.0;jan de 2022
Muito bem cuidado, funcionários educados e muita riqueza da história da Família Real. Preço muito acessível (R$10). Vale a pena a visita.;5.0;mai de 2022
