comentario;nota;data
O parque é lindo. Fizemos a Trilha dos Saltos (amarela). É possível fazer sem guia, mas preferimos e recomendamos a Guia Bárbara na Chapada que enriqueceu muito nosso passeio com explicações sobre o parque, fauna, flora e cultura da região.;5.0;fev de 2023
Impossível descrever com palavras oq só presencialmente se vivência. O guia Chico (62 98115-0774), geólogo experiente e dedicado que torna a chapada ainda mais especial com sua entrega, conhecimento, simpatia e energia que complementam a experiência com toda segurança! Pra fechar com chave de ouro recomendo demais  a massagem Ayurvedica da Brenda (61 99644-9992) , uma alma mais que especial. Juntos este casal faz a diferença na Chapada e com certeza transformou nossas vidas.;5.0;fev de 2023
Eu fiz a trilha vermelha e o visual é de tirar o fôlego, me emocionei bastante! Contratei a guia Magela ( ela me atendeu tao bem que faço questao de compartilhar seu contato @magelanoel.guiadachapada 11 95033-6363) e ela me deu todo o suporte durante o trajeto, sem falar que ela manja tudo da chapada, desde a história até a geologia e curiosidades gerais! Foi uma baita experiência! Recomendo ir com bota de trilha porque dá uma maior estabilidade, e levar bastante água e snacks saudáveis, além de contratar um guia pois faz toda a diferença!;5.0;jan de 2023
Um lugar lindo, cheio de possibilidades, trilhas, cachoeiras…Visitamos logo após a posse do presidente Lula, o que nos oportunizou encontros muito especiais. Que sorte a nossa!;5.0;jan de 2023
Um dia em Alto Paraiso de Goias, que fazer? Contactei o Guia Francisco @chicoguiachapada - 62 81150774- escolheu um pacote  e deu tudo certo, geologo que alem de guiar ensina sobre o parque e sua formação, entra na agua para guiar nos melhores lugares para nadar e tomar aquela massagem da cachoeira. e a casa que nos levou para almoçar? Maravilha.A day in Alto Paraiso de Goias, what to do? I contacted Guide Francisco @chicoguiachapada - 62 81150774- he chose a package and everything went well, a geologist who, in addition to guiding, teaches about the park and its formation, enters the water to guide in the best places to swim and get that waterfall massage. and the house that took us to lunch? Wonderful.;5.0;dez de 2022
O parque é bem famoso mas não tem muita acessibilidade para cadeirantes ou qualquer outra pessoa com comorbidade, infelizmente não deu para ir até as cachoeiras com meu namorado que é cadeirante porque precisaria de duas pessoas para ajudar ele e teria que pagar por fora para pessoas ou guia para ir com a gente. Acho uma falta de respeito o parque não ter guias turísticos a disposição. E só mais um adendo, no parque também não vi vaga (bem) sinalizada  para Pcd ou idosos e gestantes, muito menos rampas. para um lugar que é bastante conhecido deveriam ter vergonha de fazer um serviço tão ruim e não inclusivo para com as pessoas deficientes.;2.0;nov de 2022
Na minha opinião não tem como a pessoa vir ate a Chapada e não conhecer o parque nacional. Logo na entrada podemos escolher entre 3 ou 4 trilhas, todas bem sinalizadas e informando o nivel de dificuldade. O parque tambem oferece a opção de comprar transporte ate certa parte do trajeto da trilha para facilitar a caminhada. Fizemos a trilha dos saltos com 11Km de ida e volta. É longa, porém não é muito dificil. Não precisa de guia, mas tem que ficar atento a sinalização (todo caminho marcado com setas). A vista vale muito a pena, sem contar a possibilidade de banho. Não recomendo para pessoas com limitações físicas e possiveis problemas osteomusuclares, pois ha partes ingrimes. Recomendo tirar um dia para aproveitar bem o local, sem pressa para caminhar e curtir tanto a vista quando os locais de banho. Esteja atento a possibilidade de cobras pelo caminho, especialmente na epoca de chuva. OBS: SIGA AS INSTRUÇÕES DO FUNCIONARIOS! ELES SABEM BEM COMO APROVEITAR COM RESPONSABILIDADE;5.0;nov de 2022
O parque não informa que no período sem chuvas o canions ficam secos e somente com água parada para banho.A trilha vermelha (cariocas/canions) não deve ser feita em tempo de seca, pois além da trilha ter pouca sombra, são mais de 7km para visitar as atrações e mais 7km para voltar. Muito sacrifício e a vista não compensa em tempo seca.A trilha amarela é penosa, mas tem um pouco mais de sombra que a vermelha, porém é mais longa e alta. Os atrativos são mais bonitos e acredito que não funcionem em períodos de cheia.O parque cobra 40 reais para entrada e acho que deveria ter encurtamento de percurso para as trilhas e melhor estrutura como: salvamento e sinalizações.O parque não informou que a trilha azul estava seca e não tinha como tomar banho, fazendo a gente ir até ao local para constatar que nada tinha.;2.0;nov de 2022
Espetacular parque com trilhas que nos trazem a nós mesmos e visuais de tirar o fôlego. Oportunidade de contato com a natureza intocada e selvagem do Cerrado. Da ate para banhos, mas  mais contemplativo. Parque muito organizado e com preços justos. Fácil de chegar. As trilhas porém não são fáceis - são duas - fizemos das Cariocas ( tem a outra do salto). recomendo.;5.0;nov de 2021
Lugar muito bonito para quem gosta de trilhas e cachoeiras. As trilhas tem sinalização porém algumas o acesso as vezes é dificil. Recomendo que quem queira transporte de alto paraiso de goias até as trilhas tem uma kombi que leva e traz para todos os lugares.@levaetrazpasseiosContato: (34) 991620086Leandro Madeira;5.0;out de 2022
