comentario;nota;data
Não tem como explicar, precisa ver de perto a Natureza com suas Belezas e a Força. Dentro do parque tem um passeio de barco que você vai nas quedas d'aguas (Macuco Aventure) vale cada centavo esse passeio (386,00) no site 10x cartão ;5.0;mar de 2023
ótimo lugar! tranquilo e com uma energia maravilhosa, recomendo para todo tipo de pessoa!  vale a pena 100%;5.0;out de 2022
Sensacional! O parque tem uma estrutura inigualável. Fomos bem recebidos e orientados desde o instante que chegamos. Alguns consideram o valor caro (R$78,00), mas achei justo pelo que foi entregue.;5.0;fev de 2023
É um lugar fantástico para ser visitado. As quedas são impressionantes e ficamos agradecidos diante desta obra. ;5.0;fev de 2023
O passeio de barco abaixo das quedas é muito emocionante! Agua muito gelada, trememos o tempo todo! Passeio pelas passarelas é muito bonito, mas muito cheio, mal dava pra andar, e se parasse era quase atropelado. acho que devido ao feriado de carnaval, não há controle de lotação nas passarelas.;5.0;fev de 2023
Lugar maravilhoso! Visite pela manhã, bem cedo, para aproveitar ao máximo a experiência. Bem estruturado para receber visitantes de qualquer idade, condição física ou necessidade especial.;5.0;fev de 2023
Muito lindo, em palavras é difícil descrever. Com certeza quero voltar. Recomendo roupas leves, tênis confortável, chapéu se possível, protetor solar sempre e água para hidratar. Imperdível ir em Foz do Iguaçu e não fazer esse passeio.;5.0;fev de 2023
Uma das 7 maravilhas do mundo. Só isso já fala por si só na beleza do lugar. É simplesmente perfeito.;5.0;fev de 2023
Muito bem cuidado e com uma área verde muito vasta para ficar em contato com a natureza.     A infraestrutura é boa e deve atender a todos os gostos de cada pessoa.;5.0;fev de 2023
Um presente da mãe natureza. Uma exibição da perfeição da natureza.Local inexplicável. Só indo para sentir a energia do local.Vá de chinelo mesmo. A trilha é bem suave pois vc será agraciado pela vista maravilhosa. Recomendo que vá com celular a prova d’água e que possa segurar com uma alça, pois pelo fato de ter um monte de visitantes, poderá esbarrar e perder o celular quando estará tirando fotos. Não compensa esperar o elevador nq volta. Perde-se muito tempo esperando…Suba pelas escadas (para ir na parte final, nos restaurantes) e terá uma vista linda das cataratas.A excursão à parte do Macuco não vale a pena pagar o valor.Cobram mais de trezentos reais para andar 600m de trilha de mata atlântica, trenzinho com guia trilíngue e barquinho para se molhar nas cataratas. A experiência é legal, mas o preço é muito elitista. Tanto é verdade que tinha mais gringo do que brasileiros nesta parte da excursão. Será que foi coincidência? Eu duvido…Tirando esta observação, acho a visita às cataratas um marco histórico na vida de cada um.;5.0;fev de 2023
Maravilhoso. Possui uma ótima estrutura para os visitantes. Recomendo estacionar no parque das aves que é metade do preço. Além de um restaurante, possui também alguns quiosques de alimentação e lojas de lembrancinhas. Para quem não consegue andar muito, o ônibus do local leva até quase o final das cataratas. Se não quiser se molhar leve capa de chuva porque a força da água é impressionante.;5.0;jan de 2023
