comentario;nota;data
Estávamos em família e antes de iniciarmos a visita olhei as avaliações aqui no Tripadvisor. Ao observar alguns relatos me deparei com diversos elogios ao guia Edvaldo Gomeia e as vantagens de fazer um passeio guiado. Pesquisei no Instagram  @guiaculturaturismo e ao entrar em contato por sorte estava disponível para nos acompanhar.Foi o melhor investimento que fizemos. Escolhemos um passeio guiado de 2 horas pois estávamos com 2 crianças de 4 e 9 anos.  O Edvaldo conseguiu retratar todos os detalhes históricos religiosos, culturais ….detalhes curiosos e encantadores que tivemos a oportunidade de presenciar, aprender e estudar graças a ele. Aprendemos sobre os escravizados, Rua da Nóbrega, História do trio elétrico,  surgimento de religiões e o que de fato era o Pelourinho, além deMilhares de outras coisas.Em nenhum momento fomos abordados, pois quando estamos com o  guiado, além do próprio guia conhecer os melhores locais, as pessoas respeitam o trabalho que ele desenvolve.Foi mágico e encantador poder ter essa oportunidade.Super recomendo a visita porém guiada, pois através desse conhecimento tudo faz sentido.Obrigado Edvaldo @guiaculturaturismo por esse trabalho fantástico.;5.0;mar de 2023
O Pelourinho é um local de respeito à cultura baiana. Um local com muito conteúdo histórico. Impossível ficar pouco tempo ali, ou visitar e não voltar. Fiquei quatro dias em Salvador, e voltei três vezes ao Pelourinho.  Afinal, foi a primeira capital do Brasil (1593 - 1763). Além disso, a ambiente  muda a cada hora do dia, e é freqüentado por turistas, moradores da cidade, vendedores e curiosos de outros locais. Alguns personagens que freqüentam o local querem borrifar água de cheiro, outros querem tirar fotos, todos visando ganhar uma gorjeta para pagar o almoço mais tarde.  Não deixe de visitar os diversos atrativos na própria praça e ao largo dela.  Para almoçar, sugiro o Restaurante Escola Senac Pelourinho.;5.0;nov de 2022
O Pelourinho é uma das inúmeras atrações turísticas de Salvador, assim, têm muita cultura, igrejas, artes, comida regional, história em cada esquina. Eu amoo e mesmo já tendo ido visitar dezenas de vezes, ainda tenho muito para conhecer. Embora sou feliz por jamais ter tido problemas, o ponto negativo é a insegurança que existe no local! ;4.0;abr de 2022
Visitei o Pelourinho com um pequeno grupo acompanhado pelo guia Edvaldo (@guiaculturaturismo) e foi excelente. É muito importante um guia com tanto conhecimento para o passeio ser bem proveitoso.;5.0;mar de 2023
Tínhamos o sonho de conhecer o Pelourinho, e acabei encontrando boas avaliações sobre o guia Edvaldo Goméia (@guiaculturaturismo) aqui. Entramos em contato pela manhã e ele nos encontrou no local combinado pontualmente. Logo de início, meu namorado se ofereceu para pagar antecipadamente, e o Edvaldo gentilmente recusou, o alertando que não estava lá pelo dinheiro e sim para realizar o nosso sonho, o que de fato se concretizou no decorrer do dia. Muito além de nos mostrar construções e locais bonitos, o guia nos apresentou todo o contexto histórico e cultural de cada canto do Centro Histórico e do Pelourinho. Visitamos desde igrejas até uma antiga senzala, sentindo toda a carga pesada do local. No fim, o guia nos levou para conhecer outros pontos turísticos, como a igreja do Bonfim, Ponta do Humaitá, Sorveteria da Ribeira e até uma vista panorâmica e escondida da Baía de Todos os Santos. Outro ponto positivo da visita guiada foi perceber que o Edvaldo é uma figura conhecida e respeitada por muitas pessoas ali, o que nos trouxe muita segurança. Recomendo muito seus serviços e pretendemos voltar futuramente.;5.0;mar de 2023
Ponto importante para o turista visitar por fazer partida história de Salvador e de movimento de pedestre e também comercial;4.0;mar de 2023
Foi uma excelente caminhada pelas ruas de Salvador, com um ótimo guia e narrador da história de cada coisinha que tinha à nossa frente. Experiência muito enriquecidora!;5.0;mar de 2023
Tivemos uma excelente experiência no passeio pela parte histórica e pelourinho. Antes da viagem procuramos várias dicas aqui no trip e vimos vários comentários sobre as abordagens invasivas para vendas, pintura no corpo… e outros também sugerindo a visita guiada. Fechamos com um guia credenciado, Edvaldo Gomeia, e foi excelente. Nos sentimos seguros e conhecemos vários pontos do local que não iríamos sozinhos… além dele contar toda a história do local, de cada detalhe das construções… valeu muito a pena! Como dica para quem for: tênis confortável (andamos quase 4h), ir sem objetos de valor, evitar dar bobeira com celular, não dar corda para os que abordarem (vão te levando no papo e tudo é pago). Tem vários pontos de venda de água e tem opções de restaurantes. Gostamos do Cuco bistrô que fica perto da Igreja de São Francisco.;5.0;mar de 2023
Cartão postal de salvador! Imperdível! É o coração histórico da cidade! Lugar super animado! Limpo! Muito policiamento! Me senti bem seguro! Mas como em qualquer lugar, é importante tomar precauções.;5.0;mar de 2023
Ja estivemos no Pelo antes e dessa vez visitamos com guia. Dessa forma foi possivel ampliar o passeio para alem das compras. O guia Edvaldo @guiaculturaturismo foi excelente. Fez um roteiro perfeito e contou muito sobre a historia do Pelourinho, Salvador e Bahia.;5.0;mar de 2023
No Pelourinho você vai para passear/turistar, comer, assistir a shows . Não tem como ir a Salvador e não conhecer o Pelourinho.;5.0;fev de 2023
