comentario;nota;data
Outra visita obrigatória na visita à Brasília, imperdível para apreciação e fotos, mesmo que somente pelo lado externo sem acesso ao interior vale o passeio.;5.0;jan de 2023
14.NOV.2022 - Todo turista que vai a Brasília tem a obrigação de conhecer os três poderes. Infelizmente na data da nossa visita, por medida de segurança ficamos impedidos de conhecer o interior das casas os três poderes, somente pelo lado externo. Como tínhamos agendado previamente uma visita a Câmara dos Deputados, pelo menos tivemos este gostinho de fazer a visita interna . VALEU;5.0;nov de 2022
Visitei a praça alguns dias depois dos atos de vandalismo. Uma tristeza ver um local tão bonito, destruído. De qualquer forma vimos as esculturas externas. Não ficamos muito tempo pois estavam trabalhando para reorganizar o lugar. De qualquer maneira valeu conhecer pela bela arquitetura.;4.0;jan de 2023
havia uma exposição sobre os 200 anos da Independência nos Corredores de acesso ao Congresso - Câmara dos Deputados;5.0;ago de 2022
A praça dos três poderes é outro ponto imperdível na capital federal. Infelizmente não é possível se aproximar do palácio do planalto mas vale muito a pena conhecer.;4.0;ago de 2022
"Praça ampla ladeada pelo Congresso, STF e Palácio do Planalto; é o ponto mais importante da política do país.   Tem alguns monumentos históricos mas deveria estar mais bem cuidada. De qualquer forma vale a visita.";5.0;jun de 2022
A praça foi toda planejada, com muito espaço onde são encontrados quase todos os prédios políticos. Arquitetura variada. Local onde ocorrem as manifestações.;4.0;mai de 2022
Uma praça ampla e vazia. No momento mal cuidada. Mato entre as pedras. Lamentável, aparenta abandono. Falta vida. Frustrante.;3.0;abr de 2022
Decepcionante. O lugar está semManutenção alguma. Estão faltando pedras portuguesas com buracos no chão. Tem mato entre as pedrinhas. O local de turismo está pichado. Nitidamente é o reflexo da falta de diálogo entre os 3 poderes, uma forma de um se isolar do outro através da sujeira. Realmente está muito feio e decepcionante. Em tempo, aquelas barreiras para impedir o público de visitar por fora o palácio do planalto, o STF e oCongresso mostra  como Taos poderes estão longe de povo e como eles estão sendo sustentados pelo seu próprio poder. O Brasil não é uma república de verdade. É muito revelador observar que o Brasil está cheio de príncipes com privilégios pagos com o dinheiro que sai da mesa dos miseráveis.;3.0;ago de 2021
É o centro da República, onde as decisões mais importantes do país e que impactam negativa ou positivamente a vida dos brasileiros são tomadas.;5.0;jul de 2021
Um único local e você verá os principais pontos turísticos da nossa capital federal!  Um combo imperdível!!;5.0;set de 2019
Um dos principais pontos de Brasília. A vista permite ver em 360º arquiteturas que de dão fama à  capital do país.;5.0;jan de 2020
Local de Brasilia com arquitetura moderna, onde JK deixou para o Brasil a nova CapitalBrasilia e tudo de bom;5.0;jun de 2019
Não há como não visitar a praça dos 3 poderes vindo até Brasília, é como não conhecê-la de verdade! Local lindo, as construções são verdadeiros monumentos históricos, tudo é impecável! ;5.0;abr de 2020
Infelizmente só é possível conhecer o lado externo, pois as visitas internas nos palacios estão proibidas. Mesmo assim, rende belas fotos;3.0;fev de 2021
Praça ampla, onde nos oferece a oportunidade de tirarmos boas fotos. Nesta praça há a escultura dos Candangos, nome dado aos portugueses da época, assim como uma gigantesca bandeira hasteada.;4.0;jan de 2021
Talvez o principal atrativo de Brasília, onde ficam localizados os prédios do Supremo, do Congresso e o palácio do presidente;5.0;out de 2020
Ponto turístico muito importante para quem visita Brasília, porém fiquei decepcionada com a falta de cuidado com o local. Piso com muitas pedras soltas, lixo no chão e monumentos sujos. Na minha opinião, o local deveria ser impecável!!!!;3.0;out de 2020
Um ótimo lugar para ir, essencial que alguém que vá a Brasília ir conhecer, é gratuito e tem bastante história, para quem sabe obviamente.;5.0;nov de 2019
E um ponto obrigatorio a ir conhecer quando vai a Brasilia. Da para aproveitar para conhecer outros ponto. E na Pandemia esta bem tranquilo sem muvuca. ;5.0;ago de 2020
Não dá para visitar a capital do país e não vir na Esplanada dos Ministérios, visita obrigatória. Ao visitar a Esplanada, não deixe de almoçar no restaurante da Câmara que fica no último andar do anexo, vale muito a pena!;5.0;mar de 2020
