comentario;nota;data
A praia é linda, tem algumas águas vivas na praia (quando tem pouca gente). Variedade de comidas e souvenires, barracas para aluguel de cadeiras e guarda sol. Experiência perfeita. Só os preços que são um pouco salgados, recomendo levar uma reserva de dinheiro (todos os vendedores aceitam pix).;5.0;mar de 2023
A natureza juntas no quadro a praia ao longe as montanhas . O calor e o sorriso dos cariocas que se dividem nos bares agradáveis da beira mar;5.0;abr de 2022
Além de linda, nos passou a sensação de segurança, com policiamento frequente no local, tanto de dia quanto à noite. As barracas de comida à beira da praia, cobravam um preço justo por ser Copacabana, com comidas deliciosas. Apenas 1 vendedor ambulante tentou nos extorquir pedindo R$ 45,00 por UM PICOLÉ! Obviamente não compramos. Andar no calçadão à noite é também uma experiência deliciosa. Alguns comerciantes vendem lembrancinhas do local na região, bonitas e com preços baixos. Muitas famílias pelo local. Ambiente tranquilo e delicioso!;5.0;mar de 2022
Fui na praia no carnaval 2023 e furtaram uma familia do meu lado. Me senti rodeada de assaltantes que estavam observando todos a todo momento. ;2.0;fev de 2023
"Boa noite tive o privilégio de conhecer Copacabana neste feriado de carnaval.  foi surreal. maravilhosa praia. o calçadão um sonho;  Amei tudo. pretendo voltar mais vezes";5.0;fev de 2023
Fui na sexta-feira 10 de fevereiro de 2023. Fui no ponto perto do Forte de Copacabana onde me disseram que o mar é mais calmo e com ondas menos fortes do que no resto de copacabana e ipanema, e, portanto, melhor para o banho de mar. Realmente, chegando lá a água parecia uma piscina de tão calma, tinha gente até fazendo stand up paddle no mar. (E o mar estava com bandeira verde de baixo risco de afogamento). Era um dia lindo, azul, e bem quente, masssss quando fui entrar na água estava gelada. GÉLIDA. Parecendo a água do Titanic. Não me surpreenderia de ver um iceberg boiando nela. Nesse nível. Entrei na força do ódio mas não consegui ficar muito tempo, e, como eu adoro ficar dentro d'agua, isso foi bem decepcionante. Mesmo assim, valeu a pena o banho de mar. (Eu sou de Brasília e desesperada por praia). Meus parentes que moram no Rio me garantiram que eu tive falta de sorte e que a água lá geralmente não é tão gelada. (É geralmente fria, mas um frio refrescante e não congelante). Acontece. A água também estava um pouco suja nesse dia (acho que porque tinha chovido uns dias antes e me disseram que a chuva traz sujeira para o mar).  Fora isso, a paisagem é linda, o mar é maravilhoso de olhar, as pedras/montanhas ao fundo criam um cenário dramático. Parece uma pintura de tão lindo. Muito bom relaxar na areia, tomar um sol, uma água de coco, olhando pro mar. Ah esqueci de dizer: é uma praia urbana então é de fácil acesso: dá pra chegar a pé, de ônibus, metrô, carro, uber, etc. Tem vários quiosques no calçadão e vários vendedores ambulantes na própria praia caso você não queira se mexer da sua cadeira/canga para ir atrás de comida e bebida. Isso é muito cômodo e conveniente. ;3.0;fev de 2023
"Belíssima sem dúvida! Só que desta vez ficamos espantados com a quantidade de cachorros na praia!!! De todos os tamanhos, raças, até pitbull, a grande maioria soltos, correndo pela praia. Não se consegue andar pela praia sem correr o risco de ser atropelado. Isso sem contar com o problema de higiene!  Não esquecendo que o cachorro é ""bonzinho"" e ""manso"" para o dono dele, mas sabemos que pode ser imprevisível! Indo para o Arpoador, prainha entre o Forte e as pedras, contamos naquele pequeno espaço 23 cachorros. Adoro cachorros, mas tudo tem hora e lugar e me parece que alguém aí perdeu o senso e não são os cães! Praia e arredores estão policiadas, melhorou o visual sem tanta barraca que impedia qualquer vista, inclusive do mar, várias opções de comidas, petiscos, bebidas. Só estranhamos o fato de que ""todos"" vendem exclusivamente uma marca de chopp! Qualquer barraca no calçadão ou na avenida!";4.0;jan de 2023
Minha viagem foi maravilhosa , acima da minhas espectativa,fui para resolver uma questão e aproveitei para ficar no final de semana e deixar a segunda para isso.me hospedei no centro pela 1 vez e fui de metrô para a praia no sábado e domingo . Foi ótimo .....tempo lindo , a barraca que fiquei era só de mulheres ,foi ótima , atendimento muito bom !!!e como trampam !!!!! Como em toda democracia , no domingo , foi a base de Funk e Funk pesado !!!! Mas o sol estava lindo e minha caipirinha estava ótima ,meu livro e o Mar maravilhoso...;5.0;jan de 2023
Uma beleza sem igual, praia gostosa, tem ótima infraestrutura como restaurantes, kiosques, lanchonetes enfim tudo que se precisa ter;5.0;dez de 2022
Fui a praia de Copacabana com a expectativa às alturas (afinal, dizem ser a praia mais famosa do mundo né?), porém o lugar não surpreende. A areia é muito suja (culpa das próprias pessoas que comem e jogam as coisas na areia descaradamente). Eu andava na praia com o medo constante de machucar o pé. Lá tem muitas pombas também. As barracas enfeiam a praia. A praia é constantemente cheia, e pessoas usam maconha do seu lado na maior tranquilidade. Enfim, não gostei. A única coisa que eu gostei foi de caminhar no calçadão, o qual conta com um efetivo policial quase a cada esquina, me senti bem segura em relação a isso, não tive medo em hora nenhuma e nem passei por nenhum problema.;3.0;jan de 2023
